edit_history_tweet_ids,text,author_id,id,created_at,Unnamed: 0,link,user,likes,quotes,retweets,comments,cleaned_text
['1907464621730168853'],"@MayKelly @SatireSleuth @DefiantLs Trans people have existed way before you could even imagine, you have no idea of what you speak. You are brainwashed by the gender norms and heteronormative mythology, they are constructs created my misogynistic c!s men made to belittle everyone else

Trans is normal 🏳️‍⚧️",40515366.0,1.91e+18,2025-04-02T16:06:19.000Z,,,,,,,,trans people existed way even imagine idea speak brainwashed gender norms heteronormative mythology constructs created misogynistic cs men made belittle everyone else trans normal
['1907464568005079277'],"@WMoralisSr Disagreeing does not equate to not listening

I don’t agree it’s anything to do with patriarchy. Even if I thought patriarchy was relevant here, this doesn’t mean misandry is absent. It’s not

Forcing men BECAUSE they are men is absolutely misandry",7.45e+17,1.91e+18,2025-04-02T16:06:06.000Z,,,,,,,,disagreeing equate listening dont agree anything patriarchy even thought patriarchy relevant doesnt mean misandry absent forcing men men absolutely misandry
['1907464476892553494'],"and men into kings. Pro patriarchy, wisdom, kindness and reason. Mikki Smithmyer",1.89e+18,1.91e+18,2025-04-02T16:05:44.000Z,,,,,,,,men kings pro patriarchy wisdom kindness reason mikki smithmyer
['1907464466897244658'],"@1jiare @_LSanz92 Young black girls deals with the same disadvantages you listed. Now if you called the problem what it is, which is the wombo-combo of patriarchy and hegemonic white supremacy, I’d be there with you. Ngl, your emphasis on “immigrants” + “Africans” makes me question your position.",1.54e+18,1.91e+18,2025-04-02T16:05:42.000Z,,,,,,,,young black girls deals disadvantages listed now called problem wombocombo patriarchy hegemonic white supremacy id ngl emphasis immigrants africans makes question position
['1907464447985435088'],Coward. Playing ppl heart. Stupid. Talking non sense. Narcissist. Patriarchy and think what you doing is so accurate the most.,7.67e+17,1.91e+18,2025-04-02T16:05:38.000Z,,,,,,,,coward playing ppl heart stupid talking non sense narcissist patriarchy think accurate
['1907464423096131790'],I am a proud hater of period cramps ! #Feminism #nsfwtwtًً  #nsfw  #statement,1.9e+18,1.91e+18,2025-04-02T16:05:32.000Z,,,,,,,,proud hater period cramps
['1907464397473325286'],@theoccasian @FAlRYHACHI It seems that women empowerment is a delusion and it is a state where women do not depend on men. Even feminism depends on Marxism or liberalism which are also products of patriarchy/men.,1.89e+18,1.91e+18,2025-04-02T16:05:25.000Z,,,,,,,,seems women empowerment delusion state women depend men even feminism depends marxism liberalism also products patriarchymen
['1907463936162562540'],"@Jimmyssbrother @maiamindel You may be speaking for WM clearly, and don’t know many BP or the 92% of BW/ Jewish women who came out for her . It sounds like you have your own socialist/MAGA issues,  and fear of patriarchy dying, which you should work out with your therapist. And they all have celebrities 🤷🏽‍♀️",550540429.0,1.91e+18,2025-04-02T16:03:36.000Z,,,,,,,,may speaking wm clearly dont know many bp bw jewish women came sounds like socialistmaga issues fear patriarchy dying work therapist celebrities
['1907463917221110175'],"@ThePosieParker Maybe a bit. The patriarchy only creates a little space for women ‘at the top’ so there’s competition for that space which can lead to jealousy.
It’s why some handmaidens cheer on men invading women’s single-sex spaces, hoping to get some of that little space ‘at the top’.",405586876.0,1.91e+18,2025-04-02T16:03:31.000Z,,,,,,,,maybe bit patriarchy creates little space women top theres competition space can lead jealousy handmaidens cheer men invading womens singlesex spaces hoping get little space top
['1907463908924723686'],"Nothing is ever enough for you guys:
- Ke Bona Lesedi Court Preparation Programme.
- Thuthuzela Care Centres.
- Victim Friendly Rooms in police stations. 
- GBV Hotline 
- WEGE Bill
- Sanitary Dignity Programme 
- Commission for Gender Equality https://t.co/4Zw61m0xeq",1.71e+18,1.91e+18,2025-04-02T16:03:29.000Z,,,,,,,,nothing ever enough guys ke bona lesedi court preparation programme thuthuzela care centres victim friendly rooms police stations gbv hotline wege bill sanitary dignity programme commission gender equality
